Data File	C:\Users\Luscombe-G\Documents\GPC Data\04102019 New THF Calibration\2019-04-11_14;28;13_TolH_P3HT_DP240_JO_01.vdt
Sample ID	TolH P3HT DP240 JO
Method File Name	THF PS Conv Calibration-0007.vcm
Date Acquired	Apr 11, 2019 - 14:28:13
Solvent	THF
Operator	admin : Administrator
Column Set	GMHxl
System	System 1
Flow Rate (ml/min)	 1.000
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00333
Det. Temp (Deg C)	22.000
Col. Temp (Deg C)	40.000

Ret. Vol.	RI	UV	RALS	LALS	IV - DP	IV -  IP	Adjusted RI	Adjusted UV	Adjusted RALS	Adjusted LALS	Adjusted IV - DP	Adjusted IV -  IP
0.00000	 3.357	 0.000	110.096	84.918	-354.778	16.24805						
0.00333	 2.976	 0.000	110.477	85.376	-354.930	16.24195						
0.00667	 3.281	 0.000	110.019	85.223	-354.854	16.24195						
0.01000	 3.281	 0.000	110.096	84.536	-354.549	16.25111						
0.01333	 3.174	 0.000	110.233	84.964	-354.778	16.24744						
0.01667	 3.143	 0.000	110.248	84.902	-354.854	16.24805						
0.02000	 3.220	 0.000	110.172	84.780	-354.854	16.24928						
0.02333	 3.189	 0.000	110.233	84.735	-354.839	16.25111						
0.02667	 3.159	 0.000	110.233	84.887	-354.854	16.25233						
0.03000	 3.204	 0.000	110.202	84.933	-354.884	16.25355						
0.03333	 3.174	 0.241	110.202	84.918	-354.915	16.25416						
0.03667	 3.082	 7.508	110.233	84.902	-354.930	16.25477						
0.04000	 3.143	14.775	110.202	84.841	-354.900	16.25660						
0.04333	 3.159	22.041	110.218	84.735	-354.930	16.25843						
0.04667	 3.128	29.308	110.202	84.780	-354.900	16.25965						
0.05000	 3.159	36.027	110.233	84.872	-354.808	16.26026						
0.05333	 3.189	32.318	110.233	84.826	-354.778	16.26209						
0.05667	 3.082	28.609	110.385	84.861	-354.823	16.26392						
0.06000	 3.067	24.900	110.385	84.861	-354.869	16.26514						
0.06333	 3.128	21.191	110.340	84.765	-354.900	16.26575						
0.06667	 3.113	17.729	110.309	84.727	-354.854	16.26759						
0.07000	 3.143	17.729	110.309	84.956	-354.793	16.26942						
0.07333	 3.204	17.729	110.157	84.902	-354.762	16.27125						
0.07667	 3.204	17.729	110.141	84.857	-354.717	16.27247						
0.08000	 3.113	17.729	110.187	84.796	-354.701	16.27308						
0.08333	 3.159	17.729	110.233	84.826	-354.732	16.27369						
0.08667	 3.174	17.729	110.279	84.750	-354.732	16.27613						
0.09000	 3.143	17.729	110.263	84.826	-354.732	16.27796						
0.09333	 3.159	17.729	110.263	84.933	-354.701	16.27857						
0.09667	 3.189	17.729	110.233	84.933	-354.656	16.27857						
0.10000	 3.143	17.729	110.157	84.857	-354.671	16.27979						
0.10333	 3.113	17.729	110.096	84.765	-354.732	16.28040						
0.10667	 3.174	17.729	110.141	84.735	-354.762	16.28040						
0.11000	 3.189	17.729	110.157	84.689	-354.823	16.27979						
0.11333	 3.204	17.729	110.172	84.841	-354.854	16.28040						
0.11667	 3.220	18.160	110.157	84.902	-354.823	16.28162						
0.12000	 3.220	21.869	110.141	84.933	-354.793	16.28223						
0.12333	 3.143	25.578	110.096	84.872	-354.762	16.28223						
0.12667	 3.159	29.287	110.050	84.826	-354.778	16.28223						
0.13000	 3.189	32.996	110.065	84.689	-354.839	16.28223						
0.13333	 3.189	35.247	110.172	84.632	-354.854	16.28284						
0.13667	 3.204	27.980	110.172	84.727	-354.839	16.28284						
0.14000	 3.235	20.713	110.202	84.803	-354.823	16.28223						
0.14333	 3.204	13.447	110.279	84.841	-354.762	16.28162						
0.14667	 3.128	 6.180	110.263	84.880	-354.656	16.28284						
0.15000	 3.113	 0.532	110.172	84.857	-354.610	16.28345						
0.15333	 3.143	 4.089	110.279	84.803	-354.640	16.28345						
0.15667	 3.159	 7.647	110.233	84.861	-354.762	16.28162						
0.16000	 3.143	11.205	110.172	84.918	-354.793	16.28101						
0.16333	 3.204	14.762	110.157	84.918	-354.808	16.28040						
0.16667	 3.220	18.345	110.172	84.803	-354.854	16.27979						
0.17000	 3.113	22.054	110.065	84.765	-354.823	16.27796						
0.17333	 3.143	25.763	110.096	84.689	-354.747	16.27674						
0.17667	 3.189	29.472	110.111	84.689	-354.747	16.27552						
0.18000	 3.143	33.181	110.141	84.780	-354.747	16.27491						
0.18333	 3.128	36.212	110.157	84.994	-354.701	16.27430						
0.18667	 3.204	36.212	110.141	84.994	-354.732	16.27247						
0.19000	 3.128	36.212	110.126	84.979	-354.717	16.27186						
0.19333	 3.082	36.212	110.141	85.070	-354.701	16.27247						
0.19667	 3.159	36.212	110.096	85.025	-354.701	16.27247						
0.20000	 3.174	36.212	110.111	84.918	-354.732	16.27064						
0.20333	 3.159	36.212	110.111	85.040	-354.762	16.27003						
0.20667	 3.204	36.212	110.218	85.238	-354.793	16.26942						
0.21000	 3.204	36.212	110.202	84.899	-354.793	16.26942						
0.21333	 3.113	36.212	110.248	84.841	-354.808	16.26881						
0.21667	 3.113	36.212	110.248	84.918	-354.839	16.26820						
0.22000	 3.128	36.212	110.279	84.784	-354.808	16.26759						
0.22333	 3.128	36.212	110.172	84.826	-354.808	16.26759						
0.22667	 3.143	36.212	110.172	84.948	-354.839	16.26759						
