Data File	C:\Users\Luscombe-G\Documents\GPC Data\04102019 New THF Calibration\2019-08-02_12;32;01_JO3-83_PostSox_P3MEGT_01.vdt
Sample ID	JO3-83 PostSox P3MEGT
Method File Name	THF PS Conv Calibration-0007.vcm
Date Acquired	Aug 02, 2019 - 12:32:01
Solvent	THF
Operator	admin : Administrator
Column Set	GMHxl
System	System 1
Flow Rate (ml/min)	 1.000
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00333
Det. Temp (Deg C)	22.000
Col. Temp (Deg C)	40.000

Ret. Vol.	RI	UV	RALS	LALS	IV - DP	IV -  IP	Adjusted RI	Adjusted UV	Adjusted RALS	Adjusted LALS	Adjusted IV - DP	Adjusted IV -  IP
0.00000	 3.739	 0.000	110.858	85.070	-2494.888	20.98453						
0.00333	 3.586	 0.000	110.477	85.299	-2494.888	20.99063						
0.00667	 3.739	 0.000	111.011	85.681	-2494.888	21.00284						
0.01000	 3.662	 0.000	111.087	85.910	-2494.888	21.00284						
0.01333	 3.693	 0.000	110.965	85.528	-2494.888	20.99490						
0.01667	 3.647	-0.012	110.920	85.513	-2494.888	20.99612						
0.02000	 3.647	-0.879	111.118	85.559	-2494.888	20.99857						
0.02333	 3.677	-1.745	110.916	85.280	-2494.888	20.99979						
0.02667	 3.739	-2.612	110.858	85.253	-2494.888	20.99979						
0.03000	 3.723	-3.479	110.843	85.147	-2494.888	21.00040						
0.03333	 3.739	-4.297	110.828	85.177	-2494.888	21.00223						
0.03667	 3.784	-3.431	110.675	85.162	-2494.888	21.00345						
0.04000	 3.739	-2.564	110.813	85.299	-2494.888	21.00406						
0.04333	 3.647	-1.697	110.767	85.238	-2494.888	21.00467						
0.04667	 3.601	-0.831	110.858	85.253	-2494.888	21.00589						
0.05000	 3.662	-0.036	110.950	85.376	-2494.888	21.00772						
0.05333	 3.662	-0.903	110.981	85.330	-2494.888	21.00955						
0.05667	 3.677	-1.769	110.889	85.269	-2494.888	21.01077						
0.06000	 3.708	-2.636	110.889	85.406	-2494.888	21.01138						
0.06333	 3.754	-3.503	110.797	85.406	-2494.888	21.01321						
0.06667	 3.708	-4.273	110.706	85.238	-2494.888	21.01566						
0.07000	 3.693	-3.407	110.675	85.131	-2494.888	21.01749						
0.07333	 3.601	-2.540	110.660	85.040	-2494.888	21.01810						
0.07667	 3.601	-1.673	110.721	84.964	-2494.888	21.01932						
0.08000	 3.662	-0.807	110.691	84.872	-2494.888	21.02054						
0.08333	 3.708	 0.000	110.725	85.009	-2494.888	21.02176						
0.08667	 3.693	 0.000	110.731	85.089	-2494.888	21.02237						
0.09000	 3.784	 0.000	110.757	84.956	-2494.888	21.02237						
0.09333	 3.815	 0.000	110.630	84.918	-2494.888	21.02298						
0.09667	 3.754	 0.000	110.731	85.198	-2494.888	21.02420						
0.10000	 3.693	 0.000	110.820	85.070	-2494.888	21.02542						
0.10333	 3.693	 0.000	110.935	85.070	-2494.888	21.02664						
0.10667	 3.723	 0.000	110.920	85.089	-2494.888	21.03030						
0.11000	 3.708	 0.000	111.057	85.128	-2494.888	21.03580						
0.11333	 3.739	 0.000	111.011	85.185	-2494.888	21.04312						
0.11667	 3.754	 0.000	110.981	85.242	-2494.888	21.04923						
0.12000	 3.754	 0.000	110.858	85.238	-2494.888	21.05411						
0.12333	 3.708	 0.000	110.950	85.284	-2494.888	21.05960						
0.12667	 3.708	 0.000	110.920	85.421	-2494.888	21.06815						
0.13000	 3.601	 0.000	110.950	85.528	-2494.888	21.07608						
0.13333	 3.601	-0.096	110.889	85.421	-2494.888	21.08341						
0.13667	 3.662	-0.963	110.950	85.452	-2494.888	21.08829						
0.14000	 3.677	-1.829	110.858	85.437	-2494.888	21.08890						
0.14333	 3.647	-2.696	110.797	85.376	-2494.888	21.08646						
0.14667	 3.739	-3.563	110.782	85.345	-2494.888	21.08341						
0.15000	 3.769	-4.428	110.767	85.284	-2494.888	21.07852						
0.15333	 3.677	-5.286	110.660	84.841	-2494.888	21.07486						
0.15667	 3.632	-6.145	110.675	84.689	-2494.888	21.07425						
0.16000	 3.662	-7.003	110.614	84.948	-2494.888	21.07364						
0.16333	 3.662	-7.861	110.630	84.811	-2494.888	21.07120						
0.16667	 3.662	-8.240	110.706	84.933	-2494.888	21.06937						
0.17000	 3.693	-5.640	110.752	85.147	-2494.888	21.06815						
0.17333	 3.739	-3.040	110.744	85.223	-2494.888	21.06754						
0.17667	 3.723	-0.439	110.763	85.261	-2494.888	21.06754						
0.18000	 3.723	 2.161	110.801	85.498	-2494.888	21.06693						
0.18333	 3.662	 4.099	110.801	85.467	-2494.888	21.06571						
0.18667	 3.647	 2.357	110.763	85.128	-2494.888	21.06571						
0.19000	 3.693	 0.615	110.736	85.055	-2494.888	21.06632						
0.19333	 3.723	-1.127	110.752	85.070	-2494.888	21.06632						
0.19667	 3.693	-2.869	110.858	85.013	-2494.888	21.06571						
0.20000	 3.739	-4.321	110.858	84.994	-2494.888	21.06571						
0.20333	 3.769	-4.321	110.843	85.045	-2494.888	21.06571						
0.20667	 3.708	-4.321	110.874	85.045	-2494.888	21.06632						
0.21000	 3.662	-4.321	110.858	84.867	-2494.888	21.06571						
0.21333	 3.677	-4.321	110.721	84.861	-2494.888	21.06510						
0.21667	 3.708	-3.848	110.675	84.841	-2494.888	21.06449						
0.22000	 3.723	-1.222	110.767	84.902	-2494.888	21.06510						
0.22333	 3.739	 1.404	110.752	85.025	-2494.888	21.06510						
0.22667	 3.739	 4.031	110.797	85.070	-2494.888	21.06449						
0.23000	 3.723	 6.657	110.782	85.147	-2494.888	21.06326						
0.23333	 3.693	 8.433	110.752	85.166	-2494.888	21.06326						
0.23667	 3.662	 6.673	110.675	85.032	-2494.888	21.06326						
0.24000	 3.571	 4.913	110.645	84.937	-2494.888	21.06326						
